Datum;Waren_ID;Warenbezeichnung;Export;Import;Handelsbilanz
01.01.08;WA01;Lebende Tiere;82261;102369;-20108
01.01.08;WA02;Fleisch;509400;439740;69660
01.01.08;WA03;Fische, Krebs- und Weichtiere;84366;230235;-145869
01.01.08;WA04;Milch, Milcherzeugnisse, Eier, Honig;585999;466415;119584
01.01.08;WA05;Andere Waren tierischen Ursprungs;43833;50862;-7029
01.01.08;WA06;Pflanzen, Waren des Blumenhandels;35128;163048;-127920
01.01.08;WA07;Gemüse, Pflanzen für Ernährung;76811;395633;-318822
01.01.08;WA08;Geniessbare Früchte und Nüsse;122384;493178;-370794
01.01.08;WA09;Kaffee, Tee, Mate, Gewürze;103905;221312;-117407
01.01.08;WA10;Getreide;136815;191882;-55067
01.01.08;WA11;Müllereierzeugnisse, Malz usw.;84706;36766;47940
01.01.08;WA12;Ölsamen usw., Heilpflanzen usw.;120032;262936;-142904
01.01.08;WA13;Schellack, Gummen, Harz, Pflanzensaft;40769;23540;17229
01.01.08;WA14;Flechtstoffe usw. pflanzlichen Ursprungs;651;2216;-1565
01.01.08;WA15;Tierische und pflanzliche Fette, Öle, Wachs;166381;242547;-76166
01.01.08;WA16;Zubereitungen von Fleisch, Fisch usw.;188207;150768;37439
01.01.08;WA17;Zucker und Zuckerwaren;115262;106552;8710
01.01.08;WA18;Kakao und Zubereitungen aus Kakao;195301;179464;15837
01.01.08;WA19;Zubereitungen aus Getreide usw., Backwaren;302527;205951;96576
01.01.08;WA20;Zubereitungen von Gemüse, Früchten usw.;175321;348932;-173611
01.01.08;WA21;Verschiedene Lebensmittelzubereitungen;265083;215471;49612
01.01.08;WA22;Getränke, alkoholhaltige Flüssigkeiten, Essig;282184;397073;-114889
01.01.08;WA23;Rückstände der Lebensmittelindustrie, Futter;223131;246366;-23235
01.01.08;WA24;Tabak;295464;119984;175480
01.01.08;WA25;Salz, Schwefel, Steine, Erden usw.;167817;140803;27014
01.01.08;WA26;Erze, Schlacken, Aschen;29252;543399;-514147
01.01.08;WA27;Mineralische Brennstoffe usw.;2361628;9125174;-6763546
01.01.08;WA28;Anorganische chemische Erzeugnisse;649348;408577;240771
01.01.08;WA29;Organische chemische Erzeugnisse;2426311;1913137;513174
01.01.08;WA30;Pharmazeutische Erzeugnisse;3656516;2336168;1320348
01.01.08;WA31;Düngemittel;183403;113056;70347
01.01.08;WA32;Gerb- und Farbstoffe, Farben, Lacke usw.;683571;317470;366101
01.01.08;WA33;Etherische Öle, Riech-, Schönheitsmittel;582530;329733;252797
01.01.08;WA34;Seifen, Waschmittel usw.;435089;208765;226324
01.01.08;WA35;Eiweissstoffe, Klebstoffe, Enzyme;161892;123825;38067
01.01.08;WA36;Sprengstoffe, pyrotechnische Artikel usw.;15243;16322;-1079
01.01.08;WA37;Photochemische Erzeugnisse;130966;81250;49716
01.01.08;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;1535639;743734;791905
01.01.08;WA39;Kunststoffe und Waren daraus;3931420;2237151;1694269
01.01.08;WA40;Kautschuk und Waren daraus;867245;840211;27034
01.01.08;WA41;Häute, Felle, Leder;98904;73683;25221
01.01.08;WA42;Lederwaren, Sattlerwaren;107584;205160;-97576
01.01.08;WA43;Pelzfelle, künstliches Pelzwerk;11748;10244;1504
01.01.08;WA44;Holz, Holzwaren, Holzkohle;686135;464249;221886
01.01.08;WA45;Kork, Korkwaren;3003;10600;-7597
01.01.08;WA46;Flechtwaren, Korbmacherwaren;4391;14112;-9721
01.01.08;WA47;Halbstoffe aus Holz usw., Papierabfall;76531;298254;-221723
01.01.08;WA48;Papier, Pappe und Waren daraus;1616180;1025044;591136
01.01.08;WA49;Bücher, Zeitungen, Bilddrucke usw.;437654;179438;258216
01.01.08;WA50;Seide;7276;7824;-548
01.01.08;WA51;Wolle, feine und grobe Tierhaare;57681;75537;-17856
01.01.08;WA52;Baumwolle;106323;91854;14469
01.01.08;WA53;Andere pflanzliche Spinnstoffe, Papiergarn;11700;11455;245
01.01.08;WA54;Synthetisches oder künstliches Filament;224160;133591;90569
